paper_id,title,authors,year,venue,url,doi,arxiv_id,pdf_url,code_url,code_available,capability_level,topic_track,inclusion_tier,medical_modality,clinical_area,state_representation,action_or_intervention,transition_model,outcome_or_reward,validation_level,description
MWM0001,Medical World Model: From Passive Prediction to Active Simulation in Medicine,Numan Saeed; Salma Hassan; Shadab Khan; Mohammad Areeb Qazi; Klaus H. Maier-Hein; Salman Mohammad Khan Salman Mohammad Khan; Mohammad Yaqub,2026,Preprints.org,https://doi.org/10.20944/preprints202604.2168.v1,10.20944/preprints202604.2168.v1,,,,unknown,L4 planning/control,T1_definition_review_digital_twin,core,EHR/structured records; surgical video/robotics; physiology signal,radiology/general imaging; surgery,patient-specific simulator state,yes,latent dynamics,clinical outcome/risk; future image/state; treatment response,expert_evaluation,"Clinical care is interventional. Physicians must decide how a patient's trajectory is likely to change under competing actions, not only estimate risk under the status quo. Most deployed medical artificial intelligence,…"
MWM0002,"Beyond Generative AI: World Models for Clinical Prediction, Counterfactuals, and Planning",Mohammad Areeb Qazi; Maryam Nadeem; Mohammad Yaqub,2025,ArXiv.org,https://arxiv.org/abs/2511.16333,10.48550/arXiv.2511.16333,2511.16333,https://arxiv.org/pdf/2511.16333.pdf,,unknown,L4 planning/control,T1_definition_review_digital_twin,core,EHR/structured records; surgical video/robotics; multimodal,oncology/tumor; radiology/general imaging; surgery,patient-specific simulator state,yes,diffusion/generative transition,future image/state; treatment response; diagnosis; control success,not_reported,"Healthcare requires AI that is predictive, reliable, and data-efficient."
MWM0003,CheXWorld: Exploring Image World Modeling for Radiograph Representation Learning,Yang Yue; Yulin Wang; Chenxin Tao; Pan Liu; Shiji Song; Gao Huang,2025,unknown,https://arxiv.org/abs/2504.13820,10.48550/arXiv.2504.13820,2504.13820,https://arxiv.org/pdf/2504.13820.pdf,https://github.com/leaplabthu/chexworld.,yes,L0 static prediction,T2_imaging_representation_world_model,core,X-ray/radiograph,radiology/general imaging,image or multimodal latent representation,yes,latent dynamics,not_reported,expert_evaluation,"Humans can develop internal world models that encode common sense knowledge, telling them how the world works and predicting the consequences of their actions."
MWM0004,Xray2Xray: World Model from Chest X-rays with Volumetric Context,Zefan Yang; X. Michael Song; Xuanang Xu; Yongyi Shi; Ge Wang; Mannudeep K. Kalra; Pingkun Yan,2025,ArXiv.org,https://arxiv.org/abs/2506.19055,10.48550/arXiv.2506.19055,2506.19055,https://arxiv.org/pdf/2506.19055.pdf,,unknown,L1 future prediction,T2_imaging_representation_world_model,core,X-ray/radiograph,radiology/general imaging,image or multimodal latent representation,no_or_not_explicit,latent dynamics,clinical outcome/risk; future image/state; diagnosis,not_reported,Chest X-rays (CXRs) are the most widely used medical imaging modality and play a pivotal role in diagnosing diseases.
MWM0005,A World Model of Radiologist Reading for Medical Image Representation Learning,Yiwei Li; Zihao Wu; Huaqin Zhao; Yifan Zhou; Chao Cao; Dajiang Zhu; Tianming Liu; Lin Zhao,2026,arXiv (Cornell University),https://arxiv.org/abs/2605.23992,10.48550/arXiv.2605.23992,2605.23992,https://arxiv.org/pdf/2605.23992.pdf,,unknown,L1 future prediction,T2_imaging_representation_world_model,core,not_reported,radiology/general imaging,image or multimodal latent representation,no_or_not_explicit,autoregressive/transformer transition,diagnosis,expert_evaluation,"Radiologist eye-tracking data provide a rich record of how experts search, compare, and accumulate evidence during image reading; yet, existing methods exploit this signal only partially, either as a static spatial…"
MWM0006,Beyond Generative Priors: Minority Sampling with JEPA-Guided Diffusion,Sol Park; Soobin Um,2026,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2605.24631,10.48550/arxiv.2605.24631,2605.24631,https://arxiv.org/pdf/2605.24631.pdf,https://github.com/soobin-um/jepa-guidance.,yes,L4 planning/control,T2_imaging_representation_world_model,core,not_reported,radiology/general imaging,image or multimodal latent representation,no_or_not_explicit,diffusion/generative transition,future image/state; diagnosis; control success,not_reported,"Minority sampling aims to generate low-density instances on a data manifold and is of central importance in applications such as medical diagnosis, anomaly detection, and creative AI."
MWM0007,Medical World Model: Generative Simulation of Tumor Evolution for Treatment Planning,Yijun Yang; Zhaoyang Wang; Qiuping Liu; Shuwen Sun; Kang Wang; Rama Chellappa; Zongwei Zhou; Alan Yuille; et al.,2025,ArXiv.org,https://arxiv.org/abs/2506.02327,10.48550/arXiv.2506.02327,2506.02327,https://arxiv.org/pdf/2506.02327.pdf,,unknown,L4 planning/control,T3_longitudinal_disease_progression,core,not_reported,oncology/tumor; radiology/general imaging,longitudinal image / disease latent state,yes,latent dynamics,clinical outcome/risk; future image/state; treatment response; control success,expert_evaluation,Providing effective treatment and making informed clinical decisions are essential goals of modern medicine and clinical care.
MWM0008,EHRWorld: A Patient-Centric Medical World Model for Long-Horizon Clinical Trajectories,Linjie Mu; Zhongzhen Huang; Yannian Gu; Shengqian Qin; Shaoting Zhang; Xiaofan Zhang,2026,arXiv (Cornell University),https://arxiv.org/abs/2602.03569,10.48550/arXiv.2602.03569,2602.03569,https://arxiv.org/pdf/2602.03569.pdf,,unknown,L2 action-conditioned simulation,T4_ehr_patient_trajectory,core,EHR/structured records,radiology/general imaging; chronic disease/digital health,patient timeline / structured EHR state,yes,latent dynamics,clinical outcome/risk; future image/state; treatment response,retrospective_benchmark,"World models offer a principled framework for simulating future states under interventions, but realizing such models in complex, high-stakes domains like medicine remains challenging."
MWM0009,ChronoMedicalWorld: A Medical World Model for Learning Patient Trajectories from Longitudinal Care Data,Jiangyuan Wang; Xuyong Chen; Junwei He; Xu Xu; Shasha Xie; Fuman Han,2026,ArXiv.org,https://arxiv.org/abs/2605.21963,10.48550/arXiv.2605.21963,2605.21963,https://arxiv.org/pdf/2605.21963.pdf,,unknown,L2 action-conditioned simulation,T4_ehr_patient_trajectory,core,EHR/structured records; physiology signal,radiology/general imaging; chronic disease/digital health,patient timeline / structured EHR state,yes,latent dynamics,future image/state; treatment response,not_reported,"Long-horizon clinical simulation -- predicting how a patient's physiology evolves over years under specified interventions -- is central to chronic-disease care, yet existing electronic health record (EHR) models are…"
MWM0010,The Patient is not a Moving Document: A World Model Training Paradigm for Longitudinal EHR,Irsyad Adam; Zekai Chen; David Laprade; Shaun Porwal; David Laub; Erik Reinertsen; Arda Pekis; Kevin Brown,2026,ArXiv.org,https://arxiv.org/abs/2601.22128,10.48550/arXiv.2601.22128,2601.22128,https://arxiv.org/pdf/2601.22128.pdf,,unknown,L2 action-conditioned simulation,T4_ehr_patient_trajectory,core,EHR/structured records; ultrasound/echocardiography,oncology/tumor; radiology/general imaging; chronic disease/digital health,patient timeline / structured EHR state,yes,autoregressive/transformer transition,future image/state; treatment response; control success,not_reported,Large language models (LLMs) trained with next-word-prediction have achieved success as clinical foundation models.
